,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C
777,777.0,1.6037764769557672e-32,3.4362126351163224e-31,0.0002383327720377372,0.0036053597589373763,243.70400340786944,2.315672702383568,6.447709256756067e-05,0.0005749904289666786,7.365632651129366e-08,7.636698061258052e-06,21.610779020537972
778,778.0,1.5641788341756398e-32,3.355282303055152e-31,0.00023403861018855783,0.003544655478255999,243.81905184450804,2.302997938088367,6.339224787505495e-05,0.0005715527872655428,7.241966444123473e-08,7.509250175664954e-06,21.621599958370396
779,779.0,1.5255588673052877e-32,3.2762536074019187e-31,0.0002298218184386696,0.003484968267486887,243.9336757318927,2.2903875640610694,6.232556434631225e-05,0.0005681356766378829,7.120365441707889e-08,7.383915779447234e-06,21.632380912978295
780,780.0,1.4878924372743358e-32,3.1990819802104365e-31,0.0002256810027715474,0.003426281182965768,244.0478766847651,2.2778413067682473,6.127673971727558e-05,0.0005647389748181879,7.000795370035626e-08,7.260660086225878e-06,21.64312203572267
781,781.0,1.4511560010123203e-32,3.123723895068394e-31,0.00022161479428737271,0.0033685775614215666,244.16165631213102,2.265358893220729,6.024547672030854e-05,0.0005613625602631597,6.883222519889709e-08,7.139448877053293e-06,21.65382347744028
782,782.0,1.4153265967333016e-32,3.0501368428348938e-31,0.00021762184875049334,0.0033118410153728612,244.2750162172717,2.2529400509809343,5.923148300227342e-05,0.0005580063121475446,6.76761373746306e-08,7.020248491258415e-06,21.6644853884445
783,783.0,1.380381829583793e-32,2.978279307941142e-31,0.00021370084614503613,0.003256055428599205,244.38795799775605,2.240584508170063,5.823447104393927e-05,0.0005546701103599874,6.653936415287343e-08,6.903025817437524e-06,21.675107918526262
784,784.0,1.3462998576450524e-32,2.9081107452412957e-31,0.00020985049023852705,0.00320120495168611,244.50048324545236,2.2282919934751457,5.7254158080698804e-05,0.0005513538354989071,6.542158483308376e-08,6.7877482845884715e-06,21.68569121695492
785,785.0,1.3130593782809805e-32,2.8395915574007356e-31,0.00020606950815337368,0.0031472739976425128,244.61259354654086,2.216062236155951,5.6290266024573e-05,0.0005480573688683958,6.432248400105787e-08,6.674383853386091e-06,21.696235432479217
786,786.0,1.2806396148230836e-32,2.7726830728093254e-31,0.00020235664994606778,0.0030942472375895375,244.7242904815253,2.2038949660517537,5.534252138748263e-05,0.0005447805924741398,6.324175144254592e-08,6.562901007596558e-06,21.706740713328205
787,787.0,1.2490203035842057e-32,2.707347524007555e-31,0.00019871068819397075,0.003042109596519441,244.83557562524558,2.1917899135879675,5.441065520576685e-05,0.0005415233890193617,6.217908205826483e-08,6.453268745628562e-06,21.717207207212184
788,788.0,1.2181816811928797e-32,2.6435480266136664e-31,0.00019513041758954352,0.002990846249123583,244.94645054689013,2.179746809782645,5.349440296592818e-05,0.0005382856419007853,6.113417578028521e-08,6.345456572219107e-06,21.727635061323657
789,789.0,1.1881044722404019e-32,2.5812485587401888e-31,0.0001916146545418871,0.00294044261568832,245.05691681000815,2.1677653862528414,5.259350453158462e-05,0.0005350672352046229,6.010673748977117e-08,6.23943449025186e-06,21.738024422338317
790,790.0,1.1587698772329074e-32,2.5204139408885777e-31,0.0001881622367854631,0.002890884358057738,245.16697597252215,2.1558453752208426,5.1707704071609484e-05,0.0005318680537025824,5.909647693605076e-08,6.135172992705963e-06,21.748375436416016
791,791.0,1.1301595608409065e-32,2.461009816310871e-31,0.0001847720229958639,0.002842157375662135,245.2766295867408,2.1439865095202704,5.083674998943956e-05,0.0005286879828478989,5.810310865699623e-08,6.032643054733254e-06,21.758688249201747
792,792.0,1.102255640438944e-32,2.403002631827571e-31,0.00018144289241250525,0.002794247801611202,245.38587919937132,2.1321885226020525,4.998039485353323e-05,0.0005255269087713849,5.7126351900693035e-08,5.931816125861893e-06,21.768963005826638
